userId,guildId,joinDate,role,status,contributionScore
1,4,2025-01-01,Leader,Active,300
2,5,2025-01-05,Leader,Active,350
3,6,2025-02-10,Leader,Active,250
4,7,2025-01-25,Leader,Active,400
5,8,2025-01-12,Leader,Active,300
6,9,2025-01-18,Leader,Active,200
7,10,2025-03-05,Leader,Active,450
8,11,2025-01-08,Leader,Active,500
9,12,2025-02-12,Leader,Active,270
10,13,2025-01-21,Leader,Active,330
11,14,2025-02-25,Leader,Active,410
12,15,2025-03-01,Leader,Active,320
13,1,2025-01-30,Leader,Active,280
14,2,2025-01-15,Leader,Active,500
15,3,2025-02-20,Leader,Active,240
16,4,2025-01-15,Leader,Active,460
17,5,2025-02-20,Leader,Active,380
18,6,2025-01-18,Leader,Active,320
19,7,2025-02-12,Leader,Active,370
20,8,2025-01-05,Leader,Active,410
21,9,2025-02-01,Leader,Active,450
22,10,2025-03-01,Leader,Active,300
23,11,2025-01-28,Leader,Active,250
24,12,2025-01-15,Leader,Active,500
25,13,2025-02-20,Leader,Active,280
26,14,2025-03-15,Leader,Active,350
27,15,2025-02-01,Leader,Active,300
28,1,2025-01-10,Leader,Active,250
29,2,2025-02-10,Leader,Active,340
30,3,2025-03-01,Leader,Active,500
31,4,2025-01-15,Leader,Active,380
32,5,2025-02-01,Leader,Active,460
33,6,2025-02-15,Leader,Active,450
34,7,2025-01-05,Leader,Active,500
35,8,2025-03-01,Leader,Active,320
36,9,2025-03-05,Leader,Active,380
37,10,2025-03-01,Leader,Active,360
38,11,2025-01-28,Leader,Active,400
39,12,2025-02-10,Leader,Active,380
40,13,2025-02-01,Leader,Active,500
41,14,2025-02-15,Leader,Active,320
42,15,2025-02-28,Leader,Active,420
43,1,2025-01-08,Leader,Active,360
44,2,2025-02-12,Leader,Active,280
45,3,2025-01-10,Leader,Active,500
46,4,2025-02-10,Leader,Active,320
47,5,2025-03-01,Leader,Active,400
48,6,2025-03-01,Leader,Active,350
49,7,2025-02-08,Leader,Active,450
50,8,2025-02-25,Leader,Active,500
